a,b,c,d,e,f
         426.000000,         441.000000,         387.000000,           0.742678,           0.027187,           0.199528
         393.000000,         441.000000,         388.000000,           0.742707,           0.007175,           0.199491
         393.000000,         409.000000,         388.000000,           0.722690,           0.007092,           0.199401
         392.000000,         376.000000,         389.000000,           0.702681,           0.007052,           0.199280
         391.000000,         345.000000,         390.000000,           0.682664,           0.006946,           0.199201
         390.000000,         313.000000,         389.000000,           0.662653,           0.006862,           0.199090
         390.000000,         281.000000,         390.000000,           0.642644,           0.006804,           0.199022
         389.000000,         250.000000,         391.000000,           0.622629,           0.006716,           0.198969
         388.000000,         218.000000,         390.000000,           0.602595,           0.006623,           0.198906
         388.000000,         187.000000,         393.000000,           0.582576,           0.006553,           0.198829
         387.000000,         156.000000,         393.000000,           0.562571,           0.006521,           0.198769
         387.000000,         126.000000,         395.000000,           0.542573,           0.006464,           0.198748
         386.000000,          94.000000,         396.000000,           0.522599,           0.006409,           0.198743
         386.000000,          63.000000,         396.000000,           0.502599,           0.006347,           0.198710
         385.000000,          31.000000,         397.000000,           0.482610,           0.006338,           0.198723
         354.000000,          32.000000,         397.000000,           0.482574,          -0.013675,           0.198636
         354.000000,          63.000000,         396.000000,           0.502541,          -0.013681,           0.198572
         355.000000,          94.000000,         396.000000,           0.522530,          -0.013679,           0.198565
         355.000000,         126.000000,         396.000000,           0.542541,          -0.013639,           0.198610
         355.000000,         157.000000,         395.000000,           0.562566,          -0.013604,           0.198636
         356.000000,         188.000000,         394.000000,           0.582568,          -0.013553,           0.198621
         357.000000,         218.000000,         392.000000,           0.602605,          -0.013490,           0.198732
         357.000000,         250.000000,         391.000000,           0.622623,          -0.013435,           0.198765
         358.000000,         281.000000,         391.000000,           0.642631,          -0.013420,           0.198793
         358.000000,         313.000000,         391.000000,           0.662671,          -0.013322,           0.198930
         359.000000,         345.000000,         391.000000,           0.682693,          -0.013270,           0.198988
         360.000000,         377.000000,         390.000000,           0.702702,          -0.013184,           0.199024
         360.000000,         409.000000,         390.000000,           0.722700,          -0.013135,           0.199077
         361.000000,         441.000000,         388.000000,           0.742722,          -0.013086,           0.199070
         329.000000,         441.000000,         388.000000,           0.742664,          -0.033071,           0.198990
         329.000000,         409.000000,         389.000000,           0.722637,          -0.033163,           0.198908
         328.000000,         377.000000,         391.000000,           0.702616,          -0.033236,           0.198764
         327.000000,         345.000000,         391.000000,           0.682601,          -0.033311,           0.198728
         327.000000,         313.000000,         391.000000,           0.662596,          -0.033393,           0.198750
         326.000000,         282.000000,         392.000000,           0.642608,          -0.033449,           0.198696
         326.000000,         250.000000,         393.000000,           0.622587,          -0.033509,           0.198657
         325.000000,         219.000000,         394.000000,           0.602584,          -0.033562,           0.198614
         325.000000,         188.000000,         395.000000,           0.582566,          -0.033632,           0.198511
         324.000000,         157.000000,         397.000000,           0.562548,          -0.033686,           0.198410
         324.000000,         126.000000,         396.000000,           0.542548,          -0.033760,           0.198337
         323.000000,          95.000000,         397.000000,           0.522544,          -0.033760,           0.198274
         323.000000,          64.000000,         397.000000,           0.502549,          -0.033790,           0.198231
         322.000000,          33.000000,         396.000000,           0.482578,          -0.033844,           0.198281
         291.000000,          33.000000,         397.000000,           0.482503,          -0.053815,           0.198139
         292.000000,          64.000000,         396.000000,           0.502504,          -0.053768,           0.198144
         292.000000,          96.000000,         397.000000,           0.522498,          -0.053721,           0.198103
         293.000000,         127.000000,         397.000000,           0.542503,          -0.053712,           0.198179
         293.000000,         158.000000,         395.000000,           0.562539,          -0.053674,           0.198179
         294.000000,         189.000000,         397.000000,           0.582552,          -0.053644,           0.198195
         294.000000,         220.000000,         396.000000,           0.602593,          -0.053610,           0.198274
         294.000000,         251.000000,         395.000000,           0.622618,          -0.053559,           0.198314
         295.000000,         282.000000,         393.000000,           0.642641,          -0.053509,           0.198418
         295.000000,         314.000000,         392.000000,           0.662668,          -0.053457,           0.198487
         296.000000,         345.000000,         392.000000,           0.682697,          -0.053400,           0.198540
         296.000000,         377.000000,         391.000000,           0.702705,          -0.053380,           0.198557
         297.000000,         409.000000,         390.000000,           0.722727,          -0.053348,           0.198582
         297.000000,         442.000000,         389.000000,           0.742760,          -0.053294,           0.198596
         265.000000,         442.000000,         389.000000,           0.742735,          -0.073355,           0.198447
         265.000000,         409.000000,         391.000000,           0.722715,          -0.073391,           0.198364
         264.000000,         377.000000,         391.000000,           0.702713,          -0.073426,           0.198313
         264.000000,         346.000000,         392.000000,           0.682699,          -0.073453,           0.198250
         264.000000,         314.000000,         393.000000,           0.662666,          -0.073500,           0.198129
         263.000000,         283.000000,         394.000000,           0.642639,          -0.073503,           0.198034
         263.000000,         251.000000,         395.000000,           0.622614,          -0.073544,           0.197948
         263.000000,         220.000000,         396.000000,           0.602604,          -0.073591,           0.197882
         262.000000,         189.000000,         396.000000,           0.582579,          -0.073652,           0.197845
         262.000000,         158.000000,         398.000000,           0.562546,          -0.073713,           0.197754
         261.000000,         127.000000,         397.000000,           0.542544,          -0.073774,           0.197716
         261.000000,          96.000000,         398.000000,           0.522530,          -0.073844,           0.197631
         260.000000,          65.000000,         398.000000,           0.502519,          -0.073905,           0.197555
         260.000000,          34.000000,         398.000000,           0.482554,          -0.073954,           0.197575
         228.000000,          34.000000,         400.000000,           0.482554,          -0.094031,           0.197626
         229.000000,          65.000000,         398.000000,           0.502547,          -0.094029,           0.197566
         229.000000,          97.000000,         397.000000,           0.522563,          -0.093997,           0.197587
         230.000000,         128.000000,         397.000000,           0.542584,          -0.093985,           0.197569
         230.000000,         159.000000,         397.000000,           0.562599,          -0.093969,           0.197594
         231.000000,         189.000000,         397.000000,           0.582644,          -0.093940,           0.197709
         231.000000,         220.000000,         395.000000,           0.602667,          -0.093936,           0.197734
         231.000000,         252.000000,         394.000000,           0.622692,          -0.093913,           0.197816
         231.000000,         283.000000,         394.000000,           0.642709,          -0.093937,           0.197878
         232.000000,         314.000000,         392.000000,           0.662719,          -0.093929,           0.197920
         232.000000,         346.000000,         392.000000,           0.682726,          -0.093898,           0.197947
         232.000000,         378.000000,         392.000000,           0.702746,          -0.093882,           0.197951
         232.000000,         410.000000,         391.000000,           0.722760,          -0.093909,           0.198015
         232.000000,         442.000000,         391.000000,           0.742767,          -0.093923,           0.197982
         201.000000,         442.000000,         391.000000,           0.742720,          -0.113934,           0.197862
         200.000000,         410.000000,         392.000000,           0.722714,          -0.113961,           0.197752
         200.000000,         378.000000,         392.000000,           0.702683,          -0.113986,           0.197672
         200.000000,         346.000000,         393.000000,           0.682663,          -0.114017,           0.197605
         200.000000,         315.000000,         393.000000,           0.662638,          -0.114045,           0.197516
         200.000000,         283.000000,         393.000000,           0.642653,          -0.114054,           0.197460
         200.000000,         252.000000,         394.000000,           0.622636,          -0.114046,           0.197438
         200.000000,         221.000000,         395.000000,           0.602630,          -0.114069,           0.197357
         199.000000,         190.000000,         396.000000,           0.582605,          -0.114095,           0.197281
         199.000000,         159.000000,         397.000000,           0.562592,          -0.114100,           0.197164
         199.000000,         128.000000,         397.000000,           0.542587,          -0.114109,           0.197079
         198.000000,          97.000000,         398.000000,           0.522623,          -0.114108,           0.197096
         198.000000,          66.000000,         400.000000,           0.502633,          -0.114126,           0.197072
         197.000000,          35.000000,         400.000000,           0.482671,          -0.114142,           0.197125
         166.000000,          35.000000,         401.000000,           0.482567,          -0.134230,           0.197026
         166.000000,          66.000000,         401.000000,           0.502549,          -0.134279,           0.197057
         167.000000,          97.000000,         401.000000,           0.522538,          -0.134330,           0.197089
         167.000000,         128.000000,         399.000000,           0.542560,          -0.134355,           0.197166
         167.000000,         159.000000,         398.000000,           0.562578,          -0.134404,           0.197208
         167.000000,         190.000000,         397.000000,           0.582582,          -0.134446,           0.197271
         168.000000,         221.000000,         396.000000,           0.602582,          -0.134474,           0.197296
